poll_id,pollster,mode,field_start,field_end,n_total,moe_95_pp,Barreras,Botero,Caicedo,Cepeda,DeLaEspriella,Fajardo,Lizcano,ClaraLopez,ClaudiaLopez,Murillo,Uribe,Valencia,BlancoNulo,Ninguno,NSNR,Otro
1,Guarumo,Presencial,19/03/2026,25/03/2026,3736,2.2,0.6,1.5,0.8,37.5,20.2,3.9,0.5,0.1,2.3,0.2,1.3,19.9,11.0,0.0,0.0,0.0
2,CNC / Cambio,Telefonico,17/03/2026,21/03/2026,2157,3.0,0.5,1.3,0.1,34.5,15.4,3.6,0.2,0.3,3.7,0.2,1.0,22.2,6.5,1.9,8.0,0.0
3,GAD3,Telefonico,16/03/2026,18/03/2026,1200,3.0,0.1,1.0,0.3,35.0,21.0,3.0,0.1,0.2,4.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0
4,AtlasIntel,Online,10/03/2026,12/03/2026,4291,2.0,0.9,0.6,0.0,35.0,26.8,7.5,0.0,1.1,1.6,0.7,0.0,16.8,3.3,1.0,2.9,1.6
5,AtlasIntel,Online,06/04/2026,09/04/2026,3617,2.0,0.3,0.6,0.0,37.8,27.2,5.0,0.0,0.0,1.0,0.0,0.0,22.9,3.2,0.0,1.7,0.3
6,Invamer,Presencial,15/04/2026,24/04/2026,2684,2.17,0.0915,1.281,0.366,40.5345,19.6725,2.2875,0.366,0.0,3.294,0.366,0.366,18.117,4.392,8.5,0.0,0.0
7,GAD3,Telefonico,20/04/2026,22/04/2026,1500,2.61,0.0,0.8,0.2,36,21,2,0.1,0.3,3,0.4,0.6,13,5,6,11,0.6
8,AtlasIntel,Online,25/04/2026,29/04/2026,4037,2.0,0.9,0.1,0.1,37.4,29.4,4.1,0.2,0,1.9,0.7,0.2,20.9,2.4,1.5,6.0,0
9,Guarumo,Presencial,22/04/2026,29/04/2026,4680,2.0,0.3,1.7,0.1,38,23.9,2.5,0.3,0.0,2.4,0.3,0.3,22.8,7.2,0,0,0.2
10,CNC / Cambio,Presencial,30/04/2026,30/04/2026,2157,3.0,0.1,1.5,0.4,37.2,20.4,2.7,0.5,0.0,1.5,0.3,0.2,15.6,8.3,2.6,8.3,0.4
11,Génesis,Presencial,04/05/2026,11/05/2026,4352,1.485,0.7,0.7,0.2,35.1,21.6,2.9,0.2,0,3.6,0,0.8,25.4,3.2,0,5.4,0.2
12,AtlasIntel,Online,09/05/2026,14/05/2026,5039,1,0.1,0.4,0.3,37.6,32.9,4.9,0.1,0,3.5,0,0,16.7,3.2,0,0,0
13,MiguelMalonado,Presencial,12/05/2026,17/05/2026,5558,1.68,0.2,1.4,0.4,35.3,20.4,2,0.1,0,2.1,0.1,0.5,27.5,5.7,2.3,2,0.1
14,Tempo,Presencial,15/05/2026,17/05/2026,1860,2.3,0.3,0.4,0.2,38.2,23.9,2.6,0.1,0,1,0.1,0.4,27.1,3.4,0,2.1,0.2
15,Guarumo,Presencial,11/05/2026,19/05/2026,3787,2.2,0.3,1.6,0.2,37.1,27.5,3.2,0.2,0,1.5,0,0.2,21.7,6.1,0,0,0.4
16,Invamer,Presencial,13/05/2026,20/05/2026,3800,3,0.3,1.4,0.4,44.6,31.6,2.4,0.5,0,2.2,0.4,0.4,14.0,2,0,0,0.4
17,AtlasIntel,Online,18/05/2026,21/05/2026,4531,1,0.2,0.4,0.2,37.7,36.3,3.8,0.1,0,1.1,0,0.2,13.9,3.2,0,2.5,0.2
18,Tempo,Presencial,19/05/2026,21/05/2026,1860,2.3,0.43,0.27,0.16,38.12,22.9,2.58,0.16,0,0.97,0.16,0.38,27.96,3.44,0,2.31,0.16
19,CNC / Cambio,Telefonico,16/05/2026,22/05/2026,2202,3,0.1,1.1,0.6,33.4,30.9,2.1,0.1,0,2.5,0,0.1,12.6,7.6,2.2,6.5,0.2
